categoria,receita,rendimento_original,ingrediente,quantidade,origem
Personalizada,Lasanha de Abobrinha 350g,1.0,CEBOLA 258g,3.0,ABA_RECEITA
Personalizada,Lasanha de Abobrinha 350g,1.0,ALHO 65g,2.0,ABA_RECEITA
Personalizada,Lasanha de Beringela 350g,1.0,PATINHO (CARNE MOIDA),100.0,ABA_RECEITA
Personalizada,Lasanha de Beringela 350g,1.0,BERINJELA 381g,129.0,ABA_RECEITA
Personalizada,Lasanha de Beringela 350g,1.0,QUEIJO MUSSARELA pedaço,43.0,ABA_RECEITA
Personalizada,Lasanha de Beringela 350g,1.0,TOMATE CARMEM 330g,43.0,ABA_RECEITA
Personalizada,Lasanha de Beringela 350g,1.0,CEBOLA 258g,14.29,ABA_RECEITA
Personalizada,Lasanha de Beringela 350g,1.0,AZEITE DE OLIVA 500ml,2.86,ABA_RECEITA
Personalizada,Lasanha de Beringela 350g,1.0,TEMPERO A GOSTO,2.15,ABA_RECEITA
Personalizada,Lasanha de Beringela 350g,1.0,SAL,2.15,ABA_RECEITA
Personalizada,Lasanha de Beringela 350g,1.0,ALHO 65g,1.43,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 360g I",1.0,MANDIOQUINHA 150g,100.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 360g I",1.0,CENOURA 200g,60.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 360g I",1.0,CREME DE LEITE LIGHT 290g,50.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 360g I",1.0,MANTEIGA AVIAÇÃO 200g,4.28,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 360g I",1.0,PATINHO (CARNE MOIDA),168.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 360g I",1.0,CEBOLA 258g,11.42,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 360g I",1.0,ALHO 65g,2.15,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 360g I",1.0,TOMATE CARMEM 330g,60.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 360g I",1.0,SAL,2.15,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 360g I",1.0,TEMPERO A GOSTO,2.85,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 230g II",1.0,MANDIOQUINHA 150g,80.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 230g II",1.0,CENOURA 200g,50.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 230g II",1.0,CREME DE LEITE LIGHT 290g,50.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 230g II",1.0,MANTEIGA AVIAÇÃO 200g,4.28,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 230g II",1.0,PATINHO (CARNE MOIDA),120.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 230g II",1.0,CEBOLA 258g,11.42,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 230g II",1.0,ALHO 65g,2.15,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 230g II",1.0,TOMATE CARMEM 330g,22.85,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 230g II",1.0,SAL,2.15,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 230g II",1.0,TEMPERO A GOSTO,2.85,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 260g III",1.0,MANDIOQUINHA 150g,120.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 260g III",1.0,CENOURA 200g,20.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 260g III",1.0,CREME DE LEITE LIGHT 290g,50.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 260g III",1.0,MANTEIGA AVIAÇÃO 200g,4.28,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 260g III",1.0,PATINHO (CARNE MOIDA),120.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 260g III",1.0,CEBOLA 258g,11.42,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 260g III",1.0,ALHO 65g,2.15,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 260g III",1.0,TOMATE CARMEM 330g,20.0,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 260g III",1.0,SAL,2.15,ABA_RECEITA
Personalizada,"Purê de mandioquinha, carne moída e legume salteados na manteiga 260g III",1.0,TEMPERO A GOSTO,2.85,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 320g I",1.0,PEITO DE FRANGO SEM OSSO E SEM PELE,168.0,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 320g I",1.0,FARINHA DE AVEIA,11.25,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 320g I",1.0,OVOS,25.0,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 320g I",1.0,CEBOLA 258g,18.75,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 320g I",1.0,ALHO 65g,3.75,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 320g I",1.0,SALSINHA 150g,12.5,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 320g I",1.0,CEBOLINHA 150g,13.0,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 320g I",1.0,QUINOA EM GRÃO,70.0,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 320g I",1.0,SAL,1.87,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 320g I",1.0,TEMPERO A GOSTO,5.0,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 180g II",1.0,PEITO DE FRANGO SEM OSSO E SEM PELE,120.0,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 180g II",1.0,FARINHA DE AVEIA,11.25,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 180g II",1.0,OVOS,25.0,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 180g II",1.0,CEBOLA 258g,18.75,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 180g II",1.0,ALHO 65g,3.75,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 180g II",1.0,SALSINHA 150g,12.5,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 180g II",1.0,CEBOLINHA 150g,13.0,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 180g II",1.0,QUINOA EM GRÃO,60.0,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 180g II",1.0,SAL,1.87,ABA_RECEITA
Personalizada,"Almôndegas de frango, quinoa e creme de milho e vagem 180g II",1.0,TEMPERO A GOSTO,5.0,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g I,1.0,BATATA ROSA DOCÊ 515g,102.040816,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g I,1.0,PEITO DE FRANGO SEM OSSO E SEM PELE,168.0,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g I,1.0,CEBOLA 258g,20.408163,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g I,1.0,AZEITE DE OLIVA 500ml,1.020408,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g I,1.0,ALHO 65g,2.55102,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g I,1.0,INHAME 155g,61.22449,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g I,1.0,AGUA FILTRADA 20l,51.020408,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g I,1.0,EXTRATO DE TOMATE  ELEFANTE 300g,2.55102,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g I,1.0,SAL,1.530612,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 180g II,1.0,BATATA ROSA DOCÊ 515g,80.0,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 180g II,1.0,PEITO DE FRANGO SEM OSSO E SEM PELE,120.0,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 180g II,1.0,CEBOLA 258g,20.408163,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 180g II,1.0,AZEITE DE OLIVA 500ml,1.020408,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 180g II,1.0,ALHO 65g,2.55102,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 180g II,1.0,INHAME 155g,61.22449,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 180g II,1.0,AGUA FILTRADA 20l,51.020408,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 180g II,1.0,EXTRATO DE TOMATE  ELEFANTE 300g,2.55102,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 180g II,1.0,SAL,1.530612,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g III,1.0,BATATA ROSA DOCÊ 515g,120.0,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g III,1.0,PEITO DE FRANGO SEM OSSO E SEM PELE,144.0,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g III,1.0,CEBOLA 258g,20.408163,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g III,1.0,AZEITE DE OLIVA 500ml,1.020408,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g III,1.0,ALHO 65g,2.55102,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g III,1.0,INHAME 155g,61.22449,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g III,1.0,AGUA FILTRADA 20l,51.020408,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g III,1.0,EXTRATO DE TOMATE  ELEFANTE 300g,2.55102,ABA_RECEITA
Personalizada,Escondidinho de Batata Doce com Frango e molho branco de inhame 240g III,1.0,SAL,1.530612,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 320g I,1.0,PERNIL COM OSSO TRASEIRO,168.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 320g I,1.0,CEBOLA 258g,15.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 320g I,1.0,ALHO 65g,2.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 320g I,1.0,MANDIOCA,100.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 320g I,1.0,"REPOLHO VERDE 1,460kg",100.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 320g I,1.0,SAL,2.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 320g I,1.0,TEMPERO A GOSTO,4.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 320g I,1.0,AZEITE DE OLIVA 500ml,2.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 320g I,1.0,SALSINHA 150g,3.5,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 320g I,1.0,CEBOLINHA 150g,3.5,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 230g II,1.0,PERNIL COM OSSO TRASEIRO,120.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 230g II,1.0,CEBOLA 258g,15.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 230g II,1.0,ALHO 65g,2.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 230g II,1.0,MANDIOCA,80.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 230g II,1.0,"REPOLHO VERDE 1,460kg",65.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 230g II,1.0,SAL,2.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 230g II,1.0,TEMPERO A GOSTO,4.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 230g II,1.0,AZEITE DE OLIVA 500ml,2.0,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 230g II,1.0,SALSINHA 150g,3.5,ABA_RECEITA
Personalizada,Pernil c/ mandioca acompanhado de repolho c/ gergelim preto 230g II,1.0,CEBOLINHA 150g,3.5,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,SOBRE COXA,140.0,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,LIMÃO TAHITI 120g,7.166667,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,CENOURA 200g,20.833333,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,CEBOLA 258g,29.75,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,TOMATE CEREJA 280g,29.75,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,"MILHO quero 1,700kg",40.0,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,CREME DE LEITE SEM LACTOSE 200g,50.0,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,AMIDO DE MILHO,1.75,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,AGUA FILTRADA 20l,35.5,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,TEMPERO A GOSTO,2.666667,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,SOBRE COXA,120.0,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,LIMÃO TAHITI 120g,7.166667,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,CENOURA 200g,20.833333,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,CEBOLA 258g,29.75,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,TOMATE CEREJA 280g,29.75,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,"MILHO quero 1,700kg",40.0,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,CREME DE LEITE SEM LACTOSE 200g,50.0,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,AMIDO DE MILHO,1.75,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,AGUA FILTRADA 20l,35.5,ABA_RECEITA
Personalizada,Sobrecoxa assada com de creme de milho e pure de abóbora 240g I,1.0,TEMPERO A GOSTO,2.666667,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 240g I,1.0,ABÓBORA CABOTIÃ,120.0,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 240g I,1.0,CREME DE LEITE SEM LACTOSE 200g,50.0,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 240g I,1.0,PIMENTA PRETA,1.0,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 240g I,1.0,SAL,2.571429,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 240g I,1.0,OREGANO EGÍPICIO,1.0,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 240g I,1.0,ALHO 65g,2.571429,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 240g I,1.0,AZEITE DE OLIVA 500ml,2.857143,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 180g II,1.0,ABÓBORA CABOTIÃ,100.0,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 180g II,1.0,CREME DE LEITE SEM LACTOSE 200g,50.0,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 180g II,1.0,PIMENTA PRETA,1.0,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 180g II,1.0,SAL,2.571429,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 180g II,1.0,OREGANO EGÍPICIO,1.0,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 180g II,1.0,ALHO 65g,2.571429,ABA_RECEITA
Personalizada,Escondidinho de abobora recheado com frango 180g II,1.0,AZEITE DE OLIVA 500ml,2.857143,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 340g I,1.0,PATINHO (CARNE MOIDA),168.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 340g I,1.0,ALHO 65g,5.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 340g I,1.0,CEBOLA 258g,8.333333,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 340g I,1.0,TOMATE CARMEM 330g,25.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 340g I,1.0,ABÓBORA CABOTIÃ,100.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 340g I,1.0,CREME DE LEITE 200g,50.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 340g I,1.0,QUEIJO MUSSARELA pedaço,15.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 340g I,1.0,BRÓCOLIS 250g,100.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 340g I,1.0,AZEITE DE OLIVA 500ml,1.666667,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 340g I,1.0,SAL,1.666667,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 230g II,1.0,PATINHO (CARNE MOIDA),120.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 230g II,1.0,ALHO 65g,5.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 230g II,1.0,CEBOLA 258g,8.333333,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 230g II,1.0,TOMATE CARMEM 330g,25.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 230g II,1.0,ABÓBORA CABOTIÃ,80.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 230g II,1.0,CREME DE LEITE 200g,50.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 230g II,1.0,QUEIJO MUSSARELA pedaço,15.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 230g II,1.0,BRÓCOLIS 250g,50.0,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 230g II,1.0,AZEITE DE OLIVA 500ml,1.666667,ABA_RECEITA
Personalizada,Carne de panela acompanhada de purê de abóbora e brócolis no vapor 230g II,1.0,SAL,1.666667,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 240g I,1.0,ACÉM sem osso,84.0,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 240g I,1.0,PALETA BOVINA,84.0,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 240g I,1.0,AZEITE DE OLIVA 500ml,2.0,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 240g I,1.0,TOMATE CARMEM 330g,25.5,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 240g I,1.0,ALHO 65g,2.285714,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 240g I,1.0,FOLHA DE LOURO,2.071429,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 240g I,1.0,VINHO BRANCO SECO 750ml,10.214286,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 240g I,1.0,MOLHO DE TOMATE fugini,8.642857,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 240g I,1.0,SAL,2.0,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 240g I,1.0,TEMPERO A GOSTO,4.142857,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 180g II,1.0,ACÉM sem osso,60.0,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 180g II,1.0,PALETA BOVINA,60.0,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 180g II,1.0,AZEITE DE OLIVA 500ml,2.0,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 180g II,1.0,TOMATE CARMEM 330g,25.5,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 180g II,1.0,ALHO 65g,2.285714,ABA_RECEITA
Personalizada,Ragu de carne acompanhado com purê de abóbora 180g II,1.0,FOLHA DE LOURO,2.071429,ABA_RECEITA
